Province,Practices,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area
BC,Reduced to Zero-till,-0.025378,105.1822159,-0.030862,122.0810089,-0.045383,200.0874859,-0.059595,273.8692809,-0.113101,453.9470439,-0.140953,569.5435079,-0.162263,668.0451247,-0.310927,1086.229093,-0.452735,1493.973105,-0.596013,1903.594262,-0.738087,2325.322557,-0.875594,2732.319419,-0.934215,2943.812684,-0.992329,3164.995115,-1.034661,3350.41602,-1.075527,3532.820725,-1.108301,3707.000853,-1.139851,3874.239579,-1.168524,4031.127185,-1.198139,4192.831751,-1.228401,4359.847583,-1.255985,4506.908339,-1.536533,5310.468891,-1.843333,6200.716997,-2.172408,7166.993244,-2.592615,8398.663535,-3.094637,9858.39123,-3.125031,10142.7908,-3.126189,10362.59523,-3.124518,10577.53202,-3.122424,10804.89147,-3.11263,11010.45353,-3.101959,11231.39647
BC,Zero-till to Conventional,0.000004,0.053319,0.000004,0.053319,0.000015,0.090733,0.000022,0.124664,0.000033,0.160582,0.000041,0.193027,0.000041,0.193027,0.000073,0.438798,0.000065,0.469083,0.000075,0.732851,0.000086,0.700093,0.000086,0.650396,0.000078,0.617002,0.000078,0.601497,0.000078,0.588369,0.000151,0.838369,0.000147,0.838369,0.000183,1.041225,0.000183,1.066747,0.000183,1.124979,0.000179,1.176305,0.000167,1.242487,0.00016,1.242487,0.000145,1.220908,0.000152,1.220585,0.000102,0.866771,0.000062,0.516735,0.000044,0.360292,0.000028,0.166405,0.000024,0.136699,0.00002,0.118808,0.000012,0.095288,0.000008,0.061525
BC,Zero-till to Conventional,0.002648,8.68668,0.003153,9.85668299,0.005487,13.81927398,0.008665,18.71534697,0.009997,21.21943295,0.013167,25.86699198,0.013846,28.06698396,0.018304,45.94122395,0.020023,53.92096793,0.021407,61.10718392,0.022395,66.99997692,0.030128,100.4196739,0.03063,106.2330439,0.031051,111.4685419,0.031106,115.0616209,0.03145,119.1716319,0.04601,184.6616599,0.06567,263.5588148,0.077208,312.2232739,0.090472,367.5650519,0.103755,423.6337158,0.119474,490.2075088,0.13029,538.1875019,0.14031,583.3790628,0.144387,606.1593898,0.148607,629.6532018,0.147049,631.8432359,0.229807,807.2396947,0.292299,915.4735547,0.345866,1025.553285,0.400802,1135.681172,0.455537,1253.904686,0.453151,1276.598478
BC,Zero-till to Reduced,,,,,,0.008962,0.000004,0.026523,0.000007,0.037859,0.000011,0.045316,0.000035,0.093897,0.000035,0.128524,0.000035,0.13113,0.000031,0.176674,0.000028,0.219835,0.000024,0.192137,0.000024,0.178617,0.000024,0.178617,0.000024,0.178617,0.000024,0.178617,0.000032,0.274623,0.000032,0.400632,0.00004,0.868812,0.000046,1.269953,0.000046,1.388865,0.000039,1.572018,0.000039,1.572018,0.000035,1.572018,0.000032,1.5573,0.000008,1.426209,0.000008,1.308916,0.000004,1.192509,,1.011425,,0.861485,,0.701479,,0.513292,,0.330379
BC,Zero-till to Reduced,,,,,0.022433,27.24103397,0.045709,54.54346697,0.073723,86.74212098,0.108164,126.644646,0.139006,164.956041,0.13795,175.661425,0.137628,187.63882,0.136595,196.2032859,0.138241,221.700148,0.13857,236.8778369,0.139053,245.3213179,0.141853,268.4813109,0.143583,285.4713119,0.146971,310.9513079,0.158379,403.5253339,0.172082,478.7693258,0.178075,541.1310988,0.182242,574.2500178,0.189064,631.3410868,0.191998,660.6879808,0.193002,686.2079668,0.196236,725.4079608,0.195186,739.3126658,0.19563,761.6037858,0.196728,786.1910838,0.252741,953.4474637,0.316418,1142.078618,0.365328,1284.208479,0.416518,1465.73847,0.465406,1610.556559,0.512726,1766.429418
BC,Total,-3.419936,14854.35795,-3.526846,15288.42554,-4.577138,18267.89888,-5.643376,21333.80916,-6.482156,23899.43709,-7.394731,26849.55757,-8.318356,30000.32699,-8.459493,30794.7249,-8.558308,31527.91567,-8.732655,32466.45783,-8.920842,33443.50783,-9.102921,34497.97774,-9.398568,35613.86908,-9.710001,36807.90729,-10.003897,37959.51528,-10.326962,39150.10035,-10.595573,40521.76593,-11.676883,43956.233,-12.58906,46978.84755,-13.471215,49994.44699,-14.121455,52306.15151,-14.820812,55153.57283,-15.32665,56871.88642,-15.886582,58625.81278,-16.253364,60020.44753,-16.862197,61417.87286,-17.606671,62963.9124,-17.274528,62854.71438,-16.822099,62385.04194,-16.368651,61909.24336,-15.918724,61965.93583,-15.498394,62291.64155,-15.180145,62598.18151
MB,Conventional to Reduced,-122.522265,621476.8099,-126.142041,645338.4392,-126.136076,656122.6219,-126.334648,667789.7698,-126.534537,679435.6134,-126.638053,687919.1193,-126.516346,695007.0518,-129.826714,718347.8259,-133.029633,741363.1175,-135.67286,759623.3002,-138.016199,774682.2825,-140.048353,789155.8412,-139.947642,796258.5833,-139.918087,803650.3519,-139.937432,811603.7266,-139.907717,818965.0587,-139.744694,825124.1576,-139.077986,826521.6556,-138.168772,826789.3409,-137.312677,829140.1572,-136.202276,829341.1272,-134.940681,830129.0371,-130.669111,818893.0643,-126.521693,807806.0162,-122.411131,796041.5526,-118.804613,788731.5075,-115.247272,780873.5544,-119.109581,810843.3305,-123.146362,842224.0583,-126.216031,863833.0148,-128.5467,876797.1584,-130.984323,891007.6799,-133.521377,906333.4447
MB,Conventional to Zero-till,-58.985835,122411.8213,-62.166763,131105.499,-80.182646,159310.8222,-98.168955,188197.4491,-114.740972,215821.7817,-130.988916,243688.0068,-146.845662,271674.8445,-165.690793,304438.2194,-183.916766,337118.3263,-201.521182,369683.0231,-218.632653,402280.4913,-234.947545,434476.5216,-254.705728,473753.0899,-273.569685,512572.6135,-291.972703,551518.4132,-309.836976,590449.0053,-326.047439,627759.1126,-325.769301,641107.6347,-325.066083,653817.821,-324.002508,665949.1817,-322.24709,677053.635,-319.500101,686706.2949,-310.503539,687134.4836,-301.77294,687563.9917,-293.32029,688027.3025,-285.120617,688499.2433,-277.168431,688981.3704,-290.311066,723228.7412,-303.445977,758013.4636,-316.490688,793222.739,-329.411863,828819.2434,-342.497658,865196.234,-355.933711,902631.1868
MB,Reduced to Conventional,,,,,2.437395,13980.11999,5.028655,29229.99002,7.510742,44248.91997,9.971085,59463.38998,12.358026,74568.19995,12.322608,75613.64994,12.284869,76645.55006,12.254007,77700.58998,12.191004,78627.26996,12.174705,79728.85996,11.986277,80080.18992,11.800587,80420.25991,11.631535,80823.56997,11.462329,81207.00997,11.296417,81533.39998,11.074599,81672.5401,10.860184,81832.76011,10.64889,81979.23012,10.447604,82160.60997,10.245596,82331.81004,10.598921,85399.32001,10.943842,88544.53007,11.299136,91777.12006,10.620993,83657.82993,9.810436,74115.39995,8.462545,61688.00001,7.129446,49116.39003,5.83033,36622.32007,5.655738,36253.42003,5.484199,35871.26007,5.315555,35470.61009
MB,Reduced to Zero-till,-0.185422,506.4734819,-0.25224,801.2485759,-1.691859,5060.014325,-3.343783,9763.291531,-4.918969,14381.57788,-6.541723,19179.1634,-8.024906,23721.80126,-10.08391,30330.98597,-12.039337,36811.63746,-13.933248,43271.84118,-15.776096,49735.60978,-17.570026,56209.18607,-23.127762,73499.42522,-28.712457,91245.8681,-34.06551,108825.4208,-39.281979,126435.3987,-44.538955,144529.3889,-45.759581,152671.156,-46.637848,159912.6254,-47.290374,166509.1857,-47.819195,172802.2594,-48.472007,179466.7752,-47.865285,182630.4862,-47.321101,185954.2377,-46.804819,189320.6448,-46.293048,192531.0106,-45.780622,195521.4004,-49.066116,208575.9944,-52.266514,221656.4028,-55.488035,235078.1498,-58.694632,248736.2431,-61.855977,262613.5687,-64.985669,276685.5658
